NO_ORGAO,NO_CARGO_ORIGEM,count_gr_mat,cotas,Percentual.cotas,qte_20,diferenca
ADVOCACIA-GERAL DA UNIAO,,374,68,0.18,74.8,6.799999999999997
AGENCIA BRASILEIRA DE INTELIGENCIA,,4,0,0,0.8,0.8
AGENCIA NACIONAL DE AVIACAO CIVIL,,9,1,0.11,1.8,0.8
AGENCIA NACIONAL DE MINERACAO,,10,1,0.1,2,1
AMAZONIA AZUL TECNOLOGIAS DE DEFESA SA,,109,13,0.12,21.8,8.8
CENTRO FED.DE EDUC.TECNOL.MINAS GERAIS,,31,5,0.16,6.2,1.2000000000000002
CENTRO FED.EDUC.TECNOL.CELSO S. FONSECA,,80,10,0.12,16,6
COLEGIO PEDRO II,,26,2,0.08,5.2,3.2
COMANDO DA MARINHA,,1,0,0,0.2,0.2
COMPANHIA BRASILEIRA DE TRENS URBANOS,,3,0,0,0.6000000000000001,0.6000000000000001
COMPANHIA DESENV. DO VALE SAO FRANCISCO,,90,0,0,18,18
CONTROLADORIA-GERAL DA UNIAO,,44,6,0.14,8.8,2.8000000000000007
DEPARTAMENTO DE POLICIA FEDERAL,,15,2,0.13,3,1
DEPTO. DE POLICIA RODOVIARIA FEDERAL,,13,2,0.15,2.6,0.6000000000000001
EMPRESA BRAS. DE SERVICOS HOSPITALARES,,3846,504,0.13,769.2,265.20000000000005
EMPRESA DE PESQUISA ENERGETICA,,46,0,0,9.200000000000001,9.200000000000001
EMPRESA DE TRENS URBANOS DE PORTO ALEGRE,,2,0,0,0.4,0.4
FUND. UNIV FEDERAL DA GRANDE DOURADOS,,39,6,0.15,7.800000000000001,1.8000000000000007
FUND. UNIVERSIDADE DE SAO JOAO DEL REI,,27,4,0.15,5.4,1.4000000000000004
FUND. UNIVERSIDADE FEDERAL DE RONDONIA,,28,1,0.04,5.6000000000000005,4.6000000000000005
FUND.UNIV.FED.CIENC.SAUDE D PORTO ALEGRE,,5,0,0,1,1
FUND.UNIV.FED.DO VALE DO SAO FRANCISCO,,28,7,0.25,5.6000000000000005,-1.3999999999999995
FUNDACAO UNIV. FEDERAL DE OURO PRETO,,5,0,0,1,1
FUNDACAO UNIV. FEDERAL DE UBERLANDIA,,97,13,0.13,19.400000000000002,6.400000000000002
FUNDACAO UNIVERSIDADE DE BRASILIA,,98,15,0.15,19.6,4.600000000000001
FUNDACAO UNIVERSIDADE DO AMAZONAS,,125,11,0.09,25,14
FUNDACAO UNIVERSIDADE DO MARANHAO,,81,1,0.01,16.2,15.2
FUNDACAO UNIVERSIDADE FED. DO TOCANTINS,,48,8,0.17,9.600000000000001,1.6000000000000014
FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS,,45,12,0.27,9,-3
FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,,21,2,0.1,4.2,2.2
FUNDACAO UNIVERSIDADE FEDERAL DO ABC,,60,5,0.08,12,7
FUNDACAO UNIVERSIDADE FEDERAL DO PAMPA,,16,0,0,3.2,3.2
FUNDACAO UNVERSIDADE FEDERAL DO AMAPA,,34,1,0.03,6.800000000000001,5.800000000000001
GOVERNO DO DISTRITO FEDERAL,,267,51,0.19,53.400000000000006,2.4000000000000057
HOSPITAL DE CLINICAS DE PORTO ALEGRE,,863,110,0.13,172.60000000000002,62.60000000000002
INST. BR. MEIO AMB. REC. NAT. RENOVAVEIS,,137,2,0.01,27.400000000000002,25.400000000000002
INSTITUTO CHICO MENDES CONSERV.BIODIVER.,,7,0,0,1.4000000000000001,1.4000000000000001
INSTITUTO DO PATR.HIST.E ART. NACIONAL,,95,24,0.25,19,-5
INSTITUTO FED. DO NORTE DE MINAS GERAIS,,24,3,0.12,4.800000000000001,1.8000000000000007
INSTITUTO FED.DO SUDESTE DE MINAS GERAIS,,17,2,0.12,3.4000000000000004,1.4000000000000004
INSTITUTO FEDERAL BAIANO,,5,2,0.4,1,-1
INSTITUTO FEDERAL CATARINENSE,,33,0,0,6.6000000000000005,6.6000000000000005
INSTITUTO FEDERAL DA BAHIA,,193,7,0.04,38.6,31.6
INSTITUTO FEDERAL DA PARAIBA,,2,0,0,0.4,0.4
INSTITUTO FEDERAL DE ALAGOAS,,53,7,0.13,10.600000000000001,3.6000000000000014
INSTITUTO FEDERAL DE BRASILIA,,11,0,0,2.2,2.2
INSTITUTO FEDERAL DE GOIAS,,32,2,0.06,6.4,4.4
INSTITUTO FEDERAL DE MATO GROSSO,,59,6,0.1,11.8,5.800000000000001
INSTITUTO FEDERAL DE MATO GROSSO DO SUL,,34,6,0.18,6.800000000000001,0.8000000000000007
INSTITUTO FEDERAL DE MINAS GERAIS,,40,4,0.1,8,4
INSTITUTO FEDERAL DE PERNAMBUCO,,5,0,0,1,1
INSTITUTO FEDERAL DE RONDONIA,,19,2,0.11,3.8000000000000003,1.8000000000000003
INSTITUTO FEDERAL DE RORAIMA,,14,0,0,2.8000000000000003,2.8000000000000003
INSTITUTO FEDERAL DE SANTA CATARINA,,101,14,0.14,20.200000000000003,6.200000000000003
INSTITUTO FEDERAL DE SAO PAULO,,73,11,0.15,14.600000000000001,3.6000000000000014
INSTITUTO FEDERAL DO AMAPA,,1,0,0,0.2,0.2
INSTITUTO FEDERAL DO AMAZONAS,,61,1,0.02,12.200000000000001,11.200000000000001
INSTITUTO FEDERAL DO CEARA,,69,15,0.22,13.8,-1.1999999999999993
INSTITUTO FEDERAL DO ESPIRITO SANTO,,81,5,0.06,16.2,11.2
INSTITUTO FEDERAL DO MARANHAO,,76,14,0.18,15.200000000000001,1.200000000000001
INSTITUTO FEDERAL DO PARA,,74,8,0.11,14.8,6.800000000000001
INSTITUTO FEDERAL DO PARANA,,99,17,0.17,19.8,2.8000000000000007
INSTITUTO FEDERAL DO PIAUI,,33,0,0,6.6000000000000005,6.6000000000000005
INSTITUTO FEDERAL DO RIO DE JANEIRO,,31,10,0.32,6.2,-3.8
INSTITUTO FEDERAL DO RIO GRANDE DO SUL,,62,11,0.18,12.4,1.4000000000000004
INSTITUTO FEDERAL DO SERTAO PERNAMBUCANO,,6,1,0.17,1.2000000000000002,0.20000000000000018
INSTITUTO FEDERAL DO SUL DE MINAS GERAIS,,27,1,0.04,5.4,4.4
INSTITUTO FEDERAL DO TOCANTINS,,17,2,0.12,3.4000000000000004,1.4000000000000004
INSTITUTO FEDERAL DO TRIANGULO MINEIRO,,1,0,0,0.2,0.2
INSTITUTO FEDERAL FARROUPILHA,,48,7,0.15,9.600000000000001,2.6000000000000014
INSTITUTO FEDERAL FLUMINENSE,,23,0,0,4.6000000000000005,4.6000000000000005
INSTITUTO FEDERAL GOIANO,,30,6,0.2,6,0
INSTITUTO FEDERAL SUL RIO-GRANDENSE,,43,3,0.07,8.6,5.6
INSTITUTO NACIONAL DE SEGURO SOCIAL,,279,33,0.12,55.800000000000004,22.800000000000004
MINISTERIO DA AGRICULTURA E PECUARIA,,6,0,0,1.2000000000000002,1.2000000000000002
MINISTERIO DA DEFESA,,56,5,0.09,11.200000000000001,6.200000000000001
MINISTERIO DA EDUCACAO,,185,1,0.01,37,36
MINISTERIO DA FAZENDA,,778,111,0.14,155.60000000000002,44.60000000000002
MINISTERIO DA PREVIDENCIA SOCIAL,,1,0,0,0.2,0.2
MINISTERIO DAS RELACOES EXTERIORES,,51,10,0.2,10.200000000000001,0.20000000000000107
MINISTERIO DE MINAS E ENERGIA,,29,6,0.21,5.800000000000001,-0.1999999999999993
MINISTERIO DO MEIO AMBIENTE,,86,20,0.23,17.2,-2.8000000000000007
TELEBRAS - TELECOM. BRASILEIRAS S.A.,,10,2,0.2,2,0
UN. INT.INTERN. LUSOFONIA AFROBRASILEIRA,,17,0,0,3.4000000000000004,3.4000000000000004
UNI.FED.VALES DO JEQUITINHONHA E MUCURI,,64,13,0.2,12.8,-0.1999999999999993
UNIV. FEDERAL DE MATO GROSSO DO SUL,,102,13,0.13,20.400000000000002,7.400000000000002
UNIV. FEDERAL DO DELTA DO PARNAIBA,,70,10,0.14,14,4
UNIV. FEDERAL DO RECONCAVO DA BAHIA,,46,10,0.22,9.200000000000001,-0.7999999999999989
UNIV. FEDERAL RURAL DO RIO DE JANEIRO,,23,1,0.04,4.6000000000000005,3.6000000000000005
UNIV.FED. DA INTEGRACAO LATINO-AMERICANA,,8,1,0.12,1.6,0.6000000000000001
UNIVER. FEDERAL DO AGRESTE DE PERNAMBUCO,,46,6,0.13,9.200000000000001,3.200000000000001
UNIVERS. TECNOLOGICA FEDERAL DO PARANA,,57,2,0.04,11.4,9.4
UNIVERSIDADE DO RIO DE JANEIRO,,15,0,0,3,3
UNIVERSIDADE FED. DO RIO GRANDE DO NORTE,,47,6,0.13,9.4,3.4000000000000004
UNIVERSIDADE FED. DO RIO GRANDE DO SUL,,198,27,0.14,39.6,12.600000000000001
UNIVERSIDADE FED. RURAL DO SEMI-ARIDO,,25,0,0,5,5
UNIVERSIDADE FED. SUL SUDESTE DO PARA,,12,0,0,2.4000000000000004,2.4000000000000004
UNIVERSIDADE FED.DO TRIANGULO MINEIRO,,21,3,0.14,4.2,1.2000000000000002
UNIVERSIDADE FEDERAL DA BAHIA,,109,0,0,21.8,21.8
UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,,27,2,0.07,5.4,3.4000000000000004
UNIVERSIDADE FEDERAL DA PARAIBA,,116,12,0.1,23.200000000000003,11.200000000000003
UNIVERSIDADE FEDERAL DE ALAGOAS,,79,5,0.06,15.8,10.8
UNIVERSIDADE FEDERAL DE ALFENAS,,14,0,0,2.8000000000000003,2.8000000000000003
UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,,90,7,0.08,18,11
UNIVERSIDADE FEDERAL DE CATALAO,,81,10,0.12,16.2,6.199999999999999
UNIVERSIDADE FEDERAL DE GOIAS,,83,11,0.13,16.6,5.600000000000001
UNIVERSIDADE FEDERAL DE ITAJUBA,,19,2,0.11,3.8000000000000003,1.8000000000000003
UNIVERSIDADE FEDERAL DE JATAI,,64,9,0.14,12.8,3.8000000000000007
UNIVERSIDADE FEDERAL DE JUIZ DE FORA,,37,3,0.08,7.4,4.4
UNIVERSIDADE FEDERAL DE LAVRAS,,41,3,0.07,8.200000000000001,5.200000000000001
UNIVERSIDADE FEDERAL DE MATO GROSSO,,4,0,0,0.8,0.8
UNIVERSIDADE FEDERAL DE MINAS GERAIS,,153,16,0.1,30.6,14.600000000000001
UNIVERSIDADE FEDERAL DE PERNAMBUCO,,164,27,0.16,32.800000000000004,5.800000000000004
UNIVERSIDADE FEDERAL DE RONDONOPOLIS,,84,11,0.13,16.8,5.800000000000001
UNIVERSIDADE FEDERAL DE RORAIMA,,51,0,0,10.200000000000001,10.200000000000001
UNIVERSIDADE FEDERAL DE SANTA CATARINA,,161,14,0.09,32.2,18.200000000000003
UNIVERSIDADE FEDERAL DE SANTA MARIA,,67,11,0.16,13.4,2.4000000000000004
UNIVERSIDADE FEDERAL DE SAO CARLOS,,63,7,0.11,12.600000000000001,5.600000000000001
UNIVERSIDADE FEDERAL DE SAO PAULO,,27,2,0.07,5.4,3.4000000000000004
UNIVERSIDADE FEDERAL DE VICOSA,,52,4,0.08,10.4,6.4
UNIVERSIDADE FEDERAL DO ACRE,,56,5,0.09,11.200000000000001,6.200000000000001
UNIVERSIDADE FEDERAL DO CARIRI,,4,0,0,0.8,0.8
UNIVERSIDADE FEDERAL DO CEARA,,67,5,0.07,13.4,8.4
UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,,70,14,0.2,14,0
UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,,12,2,0.17,2.4000000000000004,0.40000000000000036
UNIVERSIDADE FEDERAL DO OESTE DO PARA,,18,1,0.06,3.6,2.6
UNIVERSIDADE FEDERAL DO PARA,,125,13,0.1,25,12
UNIVERSIDADE FEDERAL DO PARANA,,164,20,0.12,32.800000000000004,12.800000000000004
UNIVERSIDADE FEDERAL DO PIAUI,,92,2,0.02,18.400000000000002,16.400000000000002
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,,164,26,0.16,32.800000000000004,6.800000000000004
UNIVERSIDADE FEDERAL DO RIO GRANDE,,39,3,0.08,7.800000000000001,4.800000000000001
UNIVERSIDADE FEDERAL DO SUL DA BAHIA,,26,3,0.12,5.2,2.2
UNIVERSIDADE FEDERAL FLUMINENSE,,143,11,0.08,28.6,17.6
UNIVERSIDADE FEDERAL NORTE DO TOCANTINS,,81,16,0.2,16.2,0.1999999999999993
UNIVERSIDADE FEDERAL RURAL DA AMAZONIA,,21,0,0,4.2,4.2
UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,,17,2,0.12,3.4000000000000004,1.4000000000000004
